nombres,apellidos,email,password,confirmar,anio,mes,dia
jose,haad,fhaad0920@hotmail.com,12345.0,12345.0,2023.0,2.0,28.0
Karla,Morrison,karlm@hotmail.com,9632.0,9632.0,2023.0,3.0,7.0
Julieth,vega,jupavedi@gmail.com,7452.0,7452.0,2023.0,3.0,7.0
Juan,Gutierrez,juang@hotmail.com,9852.0,9852.0,2023.0,3.0,7.0
Robert,Deniro,robertde@gmail.com,7413.0,7413.0,2023.0,3.0,7.0
Pedro,Perez,pedrope@hotmail.com,9856.0,9856.0,2023.0,3.0,2.0
Luis,Reyes,luisito@yahoo.com,8521.0,8521.0,2023.0,3.0,1.0
Enrique,Prieto,enrique@outlook.com,9568.0,9568.0,2023.0,2.0,2.0
Sandra,Patino,sandrapa@yahoo.com,8542.0,8542.0,2023.0,2.0,5.0
,,,,,,,
,,,,,,,
,,,,,,,
